"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"DRH","Diamondrock Hospitality Company","8.23","$1.65B","2005","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/drh"
"DSX","Diana Shipping inc.","2.66","$219.57M","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dsx"
"DSX^B","Diana Shipping inc.","12.81","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dsx^b"
"DSXN","Diana Shipping inc.","18.19","n/a","2015","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dsxn"
"DKS","Dick&#39;s Sporting Goods Inc","38.37","$4.41B","2002","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/dks"
"DBD","Diebold, Incorporated","26.97","$1.75B","n/a","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/dbd"
"DLR","Digital Realty Trust, Inc.","81.76","$11.97B","2004","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/dlr"
"DLR^E","Digital Realty Trust, Inc.","25.796","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dlr^e"
"DLR^F","Digital Realty Trust, Inc.","26.27","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dlr^f"
"DLR^G","Digital Realty Trust, Inc.","24.975","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dlr^g"
"DLR^H","Digital Realty Trust, Inc.","26.7","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dlr^h"
"DLR^I","Digital Realty Trust, Inc.","25.1101","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dlr^i"
"DGI","DigitalGlobe, Inc","14.3","$1B","2009","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/dgi"
"DDS","Dillard&#39;s, Inc.","69.68","$2.56B","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/dds"
"DDT","Dillard&#39;s, Inc.","25.81","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/ddt"
"DIN","DineEquity, Inc","80.94","$1.51B","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/din"
"DPLO","Diplomat Pharmacy, Inc.","26.46","$1.7B","2014","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/dplo"
"DFS","Discover Financial Services","46.25","$19.77B","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/dfs"
"DFS^B","Discover Financial Services","25.81","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dfs^b"
"DRA","Diversified Real Asset Income Fund","14.56","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dra"
"DNI","Dividend and Income Fund","10.04","$86.44M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dni"
"DLB","Dolby Laboratories","36.71","$3.7B","2005","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/dlb"
"DG","Dollar General Corporation","71.66","$20.85B","2009","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/dg"
"DDC","Dominion Diamond Corporation","11.24","$958.67M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ddc"
"DM","Dominion Midstream Partners, LP","28.25","$2.19B","2014","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/dm"
"D","Dominion Resources, Inc.","71.06","$42.3B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/d"
"DCUA","Dominion Resources, Inc.","55.13","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dcua"
"DCUB","Dominion Resources, Inc.","55.73","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dcub"
"DCUC","Dominion Resources, Inc.","49.39","$29.4B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dcuc"
"DPZ","Domino&#39;s Pizza Inc","110.37","$6.03B","2004","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/dpz"
"UFS","Domtar Corporation","31.27","$2.03B","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/ufs"
"DCI","Donaldson Company, Inc.","29.71","$3.94B","n/a","Capital Goods","Pollution Control Equipment","http://www.nasdaq.com/symbol/dci"
"LPG","Dorian LPG Ltd.","9.63","$554.49M","2014","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/lpg"
"DSL","DoubleLine Income Solutions Fund","15.71","n/a","2013","n/a","n/a","http://www.nasdaq.com/symbol/dsl"
"DBL","DoubleLine Opportunistic Credit Fund","25.96","$382.08M","2012","n/a","n/a","http://www.nasdaq.com/symbol/dbl"
"PLOW","Douglas Dynamics, Inc.","19.15","$428.73M","2010","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/plow"
"DEI","Douglas Emmett, Inc.","28.24","$4.15B","2006","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/dei"
"DOV","Dover Corporation","59.94","$9.29B","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dov"
"DDE","Dover Downs Gaming & Entertainment Inc","0.995","$32.7M","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/dde"
"DVD","Dover Motorsports, Inc.","2.13","$78.24M","1996","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/dvd"
"DOW","Dow Chemical Company (The)","46.69","$54.1B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/dow"
"DPS","Dr Pepper Snapple Group, Inc","89.35","$16.88B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/dps"
"RDY","Dr. Reddy&#39;s Laboratories Ltd","44.85","$7.65B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rdy"
"DRD","DRDGOLD Limited","3.32","$141.01M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/drd"
"DW","Drew Industries Incorporated","55.31","$1.34B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/dw"
"DHF","Dreyfus High Yield Strategies Fund","2.86","$207.63M","1998","n/a","n/a","http://www.nasdaq.com/symbol/dhf"
"DMB","Dreyfus Municipal Bond Infrastructure Fund, Inc.","12.9","$237.13M","2013","n/a","n/a","http://www.nasdaq.com/symbol/dmb"
"DSM","Dreyfus Strategic Municipal Bond Fund, Inc.","8.45","$522.63M","1989","n/a","n/a","http://www.nasdaq.com/symbol/dsm"
"LEO","Dreyfus Strategic Municipals, Inc.","8.82","$545.51M","1987","n/a","n/a","http://www.nasdaq.com/symbol/leo"
"DRQ","Dril-Quip, Inc.","53.34","$2.05B","1997","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/drq"
"DST","DST Systems, Inc.","102","$3.53B","1995","Technology","EDP Services","http://www.nasdaq.com/symbol/dst"
"DSW","DSW Inc.","23.76","$2.06B","2005","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/dsw"
"DTE","DTE Energy Company","86.45","$15.52B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dte"
"DTQ","DTE Energy Company","25.33","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dtq"
"DTZ","DTE Energy Company","25.87","n/a","2011","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dtz"
"DCO","Ducommun Incorporated","13.67","$151.51M","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/dco"
"DPG","Duff & Phelps Global Utility Income Fund Inc.","13.99","$530.64M","2011","n/a","n/a","http://www.nasdaq.com/symbol/dpg"
"DSE","Duff & Phelps Select Energy MLP Fund Inc.","4.76","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/dse"
"DNP","Duff & Phelps Utilities Income, Inc.","9.47","$2.6B","1987","n/a","n/a","http://www.nasdaq.com/symbol/dnp"
"DTF","Duff & Phelps Utilities Tax-Free Income, Inc.","15.41","$131.28M","1991","n/a","n/a","http://www.nasdaq.com/symbol/dtf"
"DUC","Duff & Phelps Utility & Corporate Bond Trust, Inc.","9.48","$260.65M","1993","n/a","n/a","http://www.nasdaq.com/symbol/duc"
