"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"SNTA","Synta Pharmaceuticals Corp.","0.2","$27.56M","2007","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/snta"
"SYNT","Syntel, Inc.","46.22","$3.88B","1997","Technology","EDP Services","http://www.nasdaq.com/symbol/synt"
"SYMX","Synthesis Energy Systems, Inc.","0.6163","$53.55M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/symx"
"SYUT","Synutra International, Inc.","4.9","$280.22M","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/syut"
"SYPR","Sypris Solutions, Inc.","0.86","$17.88M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/sypr"
"SYRX","Sysorex Global","0.52","$13.15M","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/syrx"
"TROW","T. Rowe Price Group, Inc.","68.64","$17.24B","1986","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/trow"
"TTOO","T2 Biosystems, Inc.","8.59","$175.1M","2014","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ttoo"
"TAIT","Taitron Components Incorporated","0.9501","$5.26M","1995","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/tait"
"TTWO","Take-Two Interactive Software, Inc.","33.38","$2.82B","1997","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ttwo"
"TLMR","Talmer Bancorp, Inc.","15.5","$1.02B","2014","Finance","Major Banks","http://www.nasdaq.com/symbol/tlmr"
"TNDM","Tandem Diabetes Care, Inc.","7.55","$227.07M","2013","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/tndm"
"TLF","Tandy Leather Factory, Inc.","7.19","$70.13M","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/tlf"
"TNGO","Tangoe, Inc.","7.87","$310.32M","2011","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/tngo"
"TANH","Tantech Holdings Ltd.","4.92","$106.27M","2015","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/tanh"
"TEDU","Tarena International, Inc.","8.42","$458.32M","2014","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/tedu"
"TASR","TASER International, Inc.","15.53","$833.07M","n/a","Capital Goods","Ordnance And Accessories","http://www.nasdaq.com/symbol/tasr"
"TATT","TAT Technologies Ltd.","6.6115","$58.24M","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/tatt"
"TAYD","Taylor Devices, Inc.","13.73","$46.65M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/tayd"
"TCPC","TCP Capital Corp.","13.32","$650.98M","2012","n/a","n/a","http://www.nasdaq.com/symbol/tcpc"
"AMTD","TD Ameritrade Holding Corporation","27.16","$14.58B","1997","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/amtd"
"TEAR","TearLab Corporation","0.85","$28.7M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/tear"
"TECD","Tech Data Corporation","63.61","$2.23B","1986","Technology","Retail: Computer Software & Peripheral Equipment","http://www.nasdaq.com/symbol/tecd"
"TCCO","Technical Communications Corporation","2.9","$5.34M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/tcco"
"TTGT","TechTarget, Inc.","7.45","$240.72M","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ttgt"
"TGLS","Tecnoglass Inc.","10.91","$290.92M","2012","Consumer Durables","Electronic Components","http://www.nasdaq.com/symbol/tgls"
"TGEN","Tecogen Inc.","3.428","$60.29M","2014","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/tgen"
"TSYS","TeleCommunication Systems, Inc.","4.93","$302.1M","2000","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/tsys"
"TNAV","TeleNav, Inc.","6.33","$258.62M","2010","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/tnav"
"TTEC","TeleTech Holdings, Inc.","25.81","$1.25B","1996","Technology","Professional Services","http://www.nasdaq.com/symbol/ttec"
"TLGT","Teligent, Inc.","6.71","$354.78M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/tlgt"
"TENX","Tenax Therapeutics, Inc.","2.63","$73.95M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/tenx"
